Particulars,OfbizPartyCode,Item Details,OfbizProductCode,supplierProductId,minimumOrderQuantity,unitPrice,FromDate
Excel Computer Graphics,PRT0208,Printer Cartridge Canon 232 Printer,PB0941,,,,
Rashi Images & Technology Zone,PRT0291,Printer Cartridge Canon 925 Printer,PB1329,,,,
Ambica Scientific Industries,PRT0087,"Pseudomonas Agar Media, M120",PB0312,,,,
Bharat Hardware And Electricals,PRT0112,Pully 10.2 B GP,PB0842,,,,
Shiva Tools & Mill Store,PRT0238,"Pully 9""-C4",PB1218,,,,
Bharat Hardware And Electricals,PRT0112,"PVC Bend 1""",PB0816,,,,
Sharma Brothers,PRT0022,Pvc Cisten Slimline Std. White; Parrywar,PB1016,,,,
Bharat Hardware And Electricals,PRT0112,"PVC Condute Pipe 1"" Heavy",PB0918,,,,
Sharma Brothers,PRT0022,"PVC Connection 24"";Heavy ; Lion",PB1019,,,,
Nankani Jute House,PRT0237,PVC Floor Mat (0.65mm thickness),PB0832,,,,
Bharat Hardware And Electricals,PRT0112,"PVC Garden Hose Pipe 1"" Heavy",PB1330,,,,
Bharat Hardware And Electricals,PRT0112,PVC Gitti 35mm,PB0815,,,,
A. R. Enterprises,PRT0283,PVC Gland PG - 21,PB0950,,,,
A. R. Enterprises,PRT0283,PVC Gland PG - 25mm,PB0951,,,,
Wadhwa Hardware,PRT0258,PVC Long Bend,PB1009,,,,
Royal Trading Co.,PRT0250,PVC Sutli Roll,PB1331,,,,
A. R. Enterprises,PRT0283,PVC Tape,PB0539,,,,
Bharat Hardware And Electricals,PRT0112,PVC Tape,PB0539,,,,
Bhagwati Hardware & Electricals,PRT0193,PVC Tape,PB0539,,,,
S. KUMAR & COMPANY,PRT0292,Raddish Seeds,PB0744,,,,
R.K. Dispo Packs,PRT0012,Reagant Bottle (Pet 10 gm),PB1274,,,,
R.K. Dispo Packs,PRT0012,Reagant Bottle 200ml (T.G) With Cap,PB1271,,,,
R.K. Dispo Packs,PRT0012,Reagant Bottle 250ml (T.G) With Cap,PB0680,,,,
R.K. Dispo Packs,PRT0012,Reagant Bottle 500ml (T.G) With Cap,PB1272,,,,
R.K. Dispo Packs,PRT0012,Reagant Tube (Pet 30 Ml),PB1268,,,,
Bharat Hardware And Electricals,PRT0112,Rechargable Torch Big,PB1251,,,,
Bharat Hardware And Electricals,PRT0112,"Rectangle 12""",PB0844,,,,
Bharat Hardware And Electricals,PRT0112,"Rectangle 6""",PB0843,,,,
Bharat Hardware And Electricals,PRT0112,Red Oil Can,PB1332,,,,
Bharat Hardware And Electricals,PRT0112,Redoxide Primer,PB0497,,,,
Atlas Copco (India) Limited,PRT0134,"Refrigerant Type Air Dryer, Model: Fx 17",PB0362,,,,
Bhargava Brothers,PRT0009,Registration Form,PB1043,,,,
Phox India Industrial Services,PRT0185,Repair & Maintinance,PB0590,,,,
Bhargava Brothers,PRT0009,"Restick Notes Size 2""x3""",PB1163,,,,
CHAWLA FURNITURE,PRT0107,REVOLVING CHAIR WITH HIGH BACK,PB0247,,,,
R. S. Steel Furniture,PRT0264,REVOLVING CHAIR WITH HIGH BACK,PB0247,,,,
Global Engineering & Packaging Solutions,PRT0011,Ribbion for TSC Printer,PB0103,,,,
Nandan Steels,PRT0105,Ridge GI 1M X 1M,PB0349,,,,
Bharat Hardware And Electricals,PRT0112,"Right Abgle 12""",PB0894,,,,
Bharat Hardware And Electricals,PRT0112,"Right Abgle 6""",PB0893,,,,
Bhagwati Hardware & Electricals,PRT0193,"Ring Spanner Size 14"" (From 6-7 to 36-41",PB1205,,,,
Natraj Organics Limited,PRT0013,Rock Phosphate 30%,PB0025,,,,
Khicha Phoschem Ltd.,PRT0025,Rock Phosphate 30%,PB0025,,,,
Preksha Minerals & Fertilizers (Raj),PRT0033,Rock Phosphate 30%,PB0025,,,,
MCA Industries,PRT0205,Rock Phosphate 30%,PB0025,,,,
Lakshmi Engineering Corporation,PRT0157,"Roller Chain 1.5"" Duplex each 3 Mtr",PB0461,,,,
Lakshmi Engineering Corporation,PRT0157,"Roller Chain 1.5"" Simplex each 3 Mtr",PB0460,,,,
Lakshmi Engineering Corporation,PRT0157,"Roller Chain 1"" Simplex each 3 Mtr",PB0459,,,,
Bharat Hardware And Electricals,PRT0112,Roma Plate Code No-30250 6 Modular,PB0930,,,,
Bharat Hardware And Electricals,PRT0112,Roma Plate Code No-30271 12 Modular,PB0931,,,,
Royal Trading Co.,PRT0250,Room Freshner,PB1257,,,,
Balaji Enterprises,PRT0201,Roppcap 28 mm,PB0692,,,,
A. R. Enterprises,PRT0283,Rotatry Handle Switch ON/OFF,PB0994,,,,
Bharat Hardware And Electricals,PRT0112,Rotatry Handle Switch ON/OFF,PB0994,,,,
Nandan Steels,PRT0105,Round Bar 80mm,PB1156,,,,
Nandan Steels,PRT0105,Round Bar Dia 100mm X 125 Mm Long (60 No,PB0298,,,,
Lakshmi Projects,PRT0168,"Rubber Belt, Grade-M24, Width 600mm, 3 P",PB0515,,,,
Lakshmi Projects,PRT0168,"Rubber Belt, Grade-M24, Width 750mm, 3 P",PB0514,,,,
Satyam Stationery Mart,PRT0015,"Rubber Hand Gloves 18"" Chemical",PB0256,,,,
Royal Trading Co.,PRT0250,Rubber Hand Gloves House Hold,PB0920,,,,
Bharat Hardware And Electricals,PRT0112,Rubber Sheet 3mm Elec. Matt 1200mmX10000,PB1054,,,,
Bhagwati Hardware & Electricals,PRT0193,Rubber Sheet 8 Mm,PB1070,,,,
Shiva Tools & Mill Store,PRT0238,Ruly 230X260X90,PB1159,,,,
M Y Engineering Works,PRT0144,Ruly 230X89X20,PB0397,,,,
M Y Engineering Works,PRT0144,Ruly 630X89X20,PB0398,,,,
M Y Engineering Works,PRT0144,Ruly 840X89X20,PB0399,,,,
Royal Trading Co.,PRT0250,Safety shoes,PB0148,,,,
Bharat Hardware And Electricals,PRT0112,Safety Shoes Size: 10 No.,PB0370,,,,
Paras Polycab Pvt. Ltd.,PRT0139,Safety Shoes Size: 10 No.,PB0370,,,,
Bharat Hardware And Electricals,PRT0112,Safety Shoes Size: 6 No.,PB0366,,,,
Paras Polycab Pvt. Ltd.,PRT0139,Safety Shoes Size: 6 No.,PB0366,,,,
Bharat Hardware And Electricals,PRT0112,Safety Shoes Size: 7 No.,PB0367,,,,
Paras Polycab Pvt. Ltd.,PRT0139,Safety Shoes Size: 7 No.,PB0367,,,,
Bharat Hardware And Electricals,PRT0112,Safety Shoes Size: 8 No.,PB0368,,,,
Paras Polycab Pvt. Ltd.,PRT0139,Safety Shoes Size: 8 No.,PB0368,,,,
Bharat Hardware And Electricals,PRT0112,Safety Shoes Size: 9 No.,PB0369,,,,
Paras Polycab Pvt. Ltd.,PRT0139,Safety Shoes Size: 9 No.,PB0369,,,,
Hilti India Pvt. Ltd.,PRT0191,Safety Stud Anchor HST3 M16x145 45/25,PB0632,,,,
SAP india pvt. ltd.,PRT0153,SAP Software,PB0449,,,,
Bhagwati Hardware & Electricals,PRT0193,Scale 1 Mtr,PB0837,,,,
Royal Trading Co.,PRT0250,Scissor Big,PB1255,,,,
Royal Trading Co.,PRT0250,Scissor SAYA SY SC-06,PB0969,,,,
Royal Trading Co.,PRT0250,Scissor SAYA SY SC-07,PB0970,,,,
Royal Trading Co.,PRT0250,Scissor Small,PB1256,,,,
Bhagwati Hardware & Electricals,PRT0193,Screw Driver Set SDK-900,PB1215,,,,
Bharat Hardware And Electricals,PRT0112,Sea Green Paint,PB1072,,,,
Suboneyo Chemicals Pharmaceuticals P Ltd,PRT0041,Sea Weed Powder,PB0041,,,,
Gainwell Commonsales Private Limited,PRT0194,Seal Integra - 1986068,PB1282,,,,
Gainwell Commonsales Private Limited,PRT0194,Seal O Ring 1123540,PB1283,,,,
Gainwell Commonsales Private Limited,PRT0194,Seal O Ring 5P7530,PB1281,,,,
Royal Trading Co.,PRT0250,"Sealing Machine 12""",PB1284,,,,
S. KUMAR & COMPANY,PRT0292,Seed Barsheem,PB0820,,,,
Nandan Steels,PRT0105,Self Drilling Screw 12mmX25mm Hex Head,PB0353,,,,
Nandan Steels,PRT0105,Self Drilling Screw 12mmX55mm Hex Head,PB0352,,,,
Mittal Machinery Store,PRT0035,SELF MONOBLOCK PUMP 3HP 3PHASE Mod:SP2HM,PB0677,,,,
Mittal Machinery Store,PRT0035,Self Priming Pump SP6L With 25HP 3 Phase,PB0903,,,,
Bharat Hardware And Electricals,PRT0112,"Self Screw  ½""",PB0905,,,,
Evolutionary Products Supplier,PRT0117,SEPCOM 015,PB0266,,,,
Evolutionary Products Supplier,PRT0117,SEPCOM 065,PB0265,,,,
M Y Engineering Works,PRT0144,Shaft Chakori 1940X75,PB0392,,,,
Mittal Machinery Store,PRT0035,Shaft Sleeve,PB0935,,,,
Bhargava Brothers,PRT0009,Sharpner,PB1187,,,,
Bhargava Brothers,PRT0009,Sheet Protector (SOV FOLDER),PB1117,,,,
Khanduja Furniture,PRT0150,Side Table (30X30X16),PB0437,,,,
Badshah Traders,PRT0200,Sieve,PB0690,,,,
Titan Biotech Limited,PRT0003,Silicone Anti-Foaming Agent,PB0527,,,,
Bharat Hardware And Electricals,PRT0112,Silver Paint,PB1039,,,,
Bhagwati Hardware & Electricals,PRT0193,Sink Waste Pipe,PB1240,,,,
Mittal Refrectories,PRT0236,Skrew 9X9X4 1/2,PB0940,,,,
Bharat Hardware And Electricals,PRT0112,SKY Blue Paint,PB1040,,,,
Bharat Hardware And Electricals,PRT0112,"Slide Wrench 10""",PB0888,,,,
Bharat Hardware And Electricals,PRT0112,"Slide Wrench 6""",PB0889,,,,
Bhargava Brothers,PRT0009,Slip Pad,PB0923,,,,
Bharat Hardware And Electricals,PRT0112,Smoke Grey Oil Paint,PB0496,,,,
Remi Sales & Engineering Ltd.,PRT0186,SMPS ( L10000787 ),PB0723,,,,
Bharat Hardware And Electricals,PRT0112,SMPS 24V DC 5 AMP,PB0990,,,,
Bharat Hardware And Electricals,PRT0112,Socket &  Switch 10 Amp  Modular Box,PB0907,,,,
JOSHI WELDING COMPONENTS & HARDWARE,PRT0102,"Socket 1"" SCH-40",PB0233,,,,
M.G Marketing Services (U.K 2018-2019),PRT0103,"Socket 1"" SCH-40",PB0233,,,,
Bharat Hardware And Electricals,PRT0112,"Socket 1"" SCH-40",PB0233,,,,
Bhagwati Hardware & Electricals,PRT0193,Socket 16 Amp  Modular Box,PB1246,,,,
Bharat Hardware And Electricals,PRT0112,Socket 50mm SCH-40,PB0615,,,,
Liberty Agencies,PRT0188,Socket 50mm SCH-40,PB0615,,,,
Bhagwati Hardware & Electricals,PRT0193,Socket Modular Box (20A),PB1223,,,,
Bhagwati Hardware & Electricals,PRT0193,Socket Set (Goti Set) S 11 HXL,PB1216,,,,
M H Enterprises,PRT0068,Sodium Bicarbonate LR Grade,PB0636,,,,
Titan Biotech Limited,PRT0003,Sodium Cloride (Nacl),PB0132,,,,
M H Enterprises,PRT0068,Sodium Cobal Nitrite,PB0638,,,,
Ambica Scientific Industries,PRT0087,Sodium Cyanide AR,PB0308,,,,
Titan Biotech Limited,PRT0003,Sodium Di-Hydrogen Ortho-Phosphate Dihyd,PB1276,,,,
Titan Biotech Limited,PRT0003,Sodium Hydroxide NaOH,PB0652,,,,
M H Enterprises,PRT0068,Sodium Hydroxide NaOH,PB0652,,,,
Titan Biotech Limited,PRT0003,Sodium Lauryl Sulfate (SLS),PB0128,,,,
Central Drug House (P) Ltd,PRT0276,Sodium Molybdate LR,PB0164,,,,
Ambica Scientific Industries,PRT0087,Sodium Molybdate LR,PB0164,,,,
Satyam Stationery Mart,PRT0015,Soft Broom,PB0184,,,,
Royal Trading Co.,PRT0250,Soft Broom,PB0184,,,,
R.K. Dispo Packs,PRT0012,Soil Mixture Bottle,PB1273,,,,
Shri Raj & Co.,PRT0279,Soil Test Kit (50 Set )-Dharti Ka Doctor,PB1100,,,,
Internationl Tractors Limited,PRT0171,Sonalika Tractor Model:DI-60 Rx-16.9 Tyr,PB0519,,,,
Shiva Tools & Mill Store,PRT0238,"Spanner - 1""  1/8-1/4 D",PB0849,,,,
Shiva Tools & Mill Store,PRT0238,"Spanner - 1""  1/8-1/4 R",PB0850,,,,
Shiva Tools & Mill Store,PRT0238,"Spanner - 1""  7/8X1 D",PB0847,,,,
Shiva Tools & Mill Store,PRT0238,"Spanner - 1""  7/8X1 R",PB0848,,,,
Sri Sai Plastics Enterprises,PRT0199,Spatula,PB0688,,,,
S. KUMAR & COMPANY,PRT0292,Spinach Seeds,PB0749,,,,
Bhargava Brothers,PRT0009,Spiral Notebook,PB0925,,,,
Bharat Hardware And Electricals,PRT0112,Spirit Leval,PB1160,,,,
Shiva Tools & Mill Store,PRT0238,"Spocket of Conveyor 16 Teeth 1""",PB1174,,,,
Shiva Tools & Mill Store,PRT0238,"Spocket of Conveyor 30 Teeth 1""",PB1175,,,,
M Y Engineering Works,PRT0144,SPRING 400X90X16,PB0507,,,,
Bhargava Brothers,PRT0009,Spring File Cobra - 1200,PB0896,,,,
Satyam Stationery Mart,PRT0015,Spring File Cobra - 1200,PB0896,,,,
Bhargava Brothers,PRT0009,Spring File Cobra - 5000,PB1239,,,,
M Y Engineering Works,PRT0144,SPRING LOCK,PB0508,,,,
Bharat Hardware And Electricals,PRT0112,SS ALLEN BOLT 8x50MM,PB1132,,,,
Bharat Hardware And Electricals,PRT0112,SS Allen Csk 8x30mm,PB1133,,,,
Bharat Hardware And Electricals,PRT0112,"SS Ball Valve 3/8""",PB0886,,,,
Bharat Hardware And Electricals,PRT0112,SS Hex Bolt 12X40mm With Nut Double Wash,PB0804,,,,
Bharat Hardware And Electricals,PRT0112,SS Hex Bolt 16X25mm With Nut Double Wash,PB0805,,,,
Bharat Hardware And Electricals,PRT0112,SS Hex Nut 8mm,PB1134,,,,
Bharat Hardware And Electricals,PRT0112,SS Hex Nut Bolt 12x50mm,PB1065,,,,
Bhagwati Hardware & Electricals,PRT0193,SS Hex Nut Bolt 12x50mm,PB1065,,,,
Bharat Hardware And Electricals,PRT0112,"SS Hose Clamp 1""",PB1333,,,,
Bhagwati Hardware & Electricals,PRT0193,SS Sink Coupling,PB1260,,,,
Royal Trading Co.,PRT0250,ST-1 A4100 Sticker Oddy,PB1181,,,,
M H Enterprises,PRT0068,Stannour Chloride,PB0644,,,,
Bhargava Brothers,PRT0009,Stapler No. 10,PB1189,,,,
Bhargava Brothers,PRT0009,Stapler Pin No. 10,PB1191,,,,
Mittal Machinery Store,PRT0035,STARTER 1HP SINGLE PHASE CROMPTON MAKE,PB0239,,,,
Mittal Machinery Store,PRT0035,Starter 7.5 HP MK 1 Dol,PB0440,,,,
Shilpam Power Controls,PRT0147,Starter Panel,PB0784,,,,
Lakshmi Engineering Corporation,PRT0157,Steam ON/OFF Valve With Preumatic Actuat,PB1334,,,,
Balbir Singh & Sons,PRT0167,Steel Wire Rope 10mmX6X19 Steel Core,PB0512,,,,
Bhagwati Hardware & Electricals,PRT0193,Steel Wire Rope 12 mm,PB1166,,,,
Royal Trading Co.,PRT0250,Sticker Sheet,PB1035,,,,
Royal Trading Co.,PRT0250,Stock Register,PB1034,,,,
Royal Trading Co.,PRT0250,Stock Register 4 No.,PB1230,,,,
Royal Trading Co.,PRT0250,Stock Register 6 No.,PB1229,,,,
M Y Engineering Works,PRT0144,Stoper 60X150X80 Bearing 6214,PB0396,,,,
M Y Engineering Works,PRT0144,Stoper 70X250X90 Bearing 6215,PB0395,,,,
Titan Biotech Limited,PRT0003,Sucrose,PB0153,,,,
Universal Industries,PRT0005,Sulphur Powder 90%,PB0042,,,,
M H Enterprises,PRT0068,Sulphuric Acid,PB0642,,,,
Ambica Scientific Industries,PRT0087,Sulphuric Acid,PB0642,,,,
Mittal Machinery Store,PRT0035,SUMBERSIBLE FLAT CABLE 1.5 SQ MM 3 CORE,PB0240,,,,
Mittal Machinery Store,PRT0035,SUMBERSIBLE PUMP 1HP SINGLE PHASE CROMPT,PB0238,,,,
Alligo Horizon Pvt Ltd,PRT0140,Super Pottasium Humate,PB0040,,,,
U. P. Automobiles,PRT0295,Super SPL 125 CC Self,PB0752,,,,
Mittal Refrectories,PRT0236,Supply of Furnace Mfr. Mat. & Installati,PB0494,,,,
Wintex Industries,PRT0165,Supply of Furnace Mfr. Mat. & Installati,PB0494,,,,
Drycool Systems (India) Pvt. Ltd.,PRT0154,Supply of Water Cooled Scroll Chiller,PB0450,,,,
Satyam Stationery Mart,PRT0015,Surgical Hand Gloves,PB0181,,,,
Royal Trading Co.,PRT0250,Surgical Hand Gloves,PB0181,,,,
Ritik Communication,PRT0155,Switch 8 Port POE,PB1032,,,,
Royal Trading Co.,PRT0250,Table Pad,PB1002,,,,
Sharma Brothers,PRT0022,Taflan Tap Big,PB1021,,,,
RANJANA MINERALS & CHEMICALS INDUSTRIES,PRT0054,Talcum Powder,PB0043,,,,
Liberty Agencies,PRT0188,Tank Adapter 50mm SCH-40,PB0620,,,,
Bhargava Brothers,PRT0009,"Tape Adh Commn 2"" (72 Pcs)",PB1192,,,,
Royal Trading Co.,PRT0250,"Tape Dispenser 1"" & 1/2""",PB1237,,,,
Bhargava Brothers,PRT0009,Tape Double Side,PB1162,,,,
S. KUMAR & COMPANY,PRT0292,Tarbooj Aastha,PB1105,,,,
S. KUMAR & COMPANY,PRT0292,Tarbooj Madhubala,PB1104,,,,
Bharat Hardware And Electricals,PRT0112,Tarpin Oil,PB0499,,,,
Bharat Hardware And Electricals,PRT0112,Tefon Hammer,PB1201,,,,
A. R. Enterprises,PRT0283,Temprature Controller,PB1138,,,,
M H Enterprises,PRT0068,Test Tube 7 Ml,PB0689,,,,
Sri Sai Plastics Enterprises,PRT0199,Test Tube 7 Ml,PB0689,,,,
Ambica Scientific Industries,PRT0087,"Test Tube for Tissue Culture, Size: 25x1",PB0321,,,,
Sri Sai Plastics Enterprises,PRT0199,Test Tube Stand,PB0693,,,,
Optec Instrumentation,PRT0202,Test Tube Stand (12 Tube),PB0693,,,,
Unitek Scientific & Electronics Industry,PRT0204,Test Tube Stand (12 Tube),PB0693,,,,
Titan Biotech Limited,PRT0003,Tetrasodium Pyrophosphate,PB0152,,,,
M H Enterprises,PRT0068,Tetrasodium Pyrophosphate,PB0152,,,,
Jain Book Agency,PRT0148,"The Fertiliser (Control) Order, Latest",PB0428,,,,
Jain Book Agency,PRT0148,The Insecticides Act 1968 with Rules1971,PB0429,,,,
A. R. Enterprises,PRT0283,Thermo Couple Sensor (PT100 Sensor),PB1139,,,,
A. R. Enterprises,PRT0283,Thermo Couple Wire,PB1137,,,,
Krishna Trading Company,PRT0282,Thread Roll,PB0191,,,,
Krishna Trading Company,PRT0282,"Thread Roll for PROM, JAIVIK & POSHAK",PB0101,,,,
M H Enterprises,PRT0068,Thymol Blue,PB0645,,,,
Ambica Scientific Industries,PRT0087,Tissue Paper,PB0327,,,,
Nandan Steels,PRT0105,TMT BAR 12 MM,PB0584,,,,
Nandan Steels,PRT0105,TMT BAR 16 MM,PB0585,,,,
Nandan Steels,PRT0105,TMT BAR 8 MM,PB0583,,,,
Bhagwati Hardware & Electricals,PRT0193,Tool Box,PB1217,,,,
Shiva Tools & Mill Store,PRT0238,Tools & Kit,PB0845,,,,
S. KUMAR & COMPANY,PRT0292,Tori Aloka,PB1110,,,,
S. KUMAR & COMPANY,PRT0292,Tori Doli,PB1111,,,,
V. K. Printers,PRT0266,Training Brochure Printing,PB1076,,,,
Pooja Electrotech Pvt. Ltd.,PRT0160,"Transformer 11/433 KV, Cap. 800 KVA",PB0476,,,,
Voltamp Transformers Limited,PRT0187,"Transformer 11/433 KV, Cap. 800 KVA",PB0476,,,,
Titan Biotech Limited,PRT0003,Tri-Calcium Phosphate,PB0136,,,,
Central Drug House (P) Ltd,PRT0276,Tri-Calcium Phosphate LR,PB0165,,,,
Ambica Scientific Industries,PRT0087,Tri-Calcium Phosphate LR,PB0165,,,,
R. P. Traders,PRT0289,Tube Light Fitting 18 Watt SSK-SO18W,PB1335,,,,
S. KUMAR & COMPANY,PRT0292,Turnip Seeds,PB0743,,,,
Infotrend Technologies,PRT0158,TVSE Keybord,PB0469,,,,
ATLAS COPCO AIRPOWER NV,PRT0135,"Two stage Oil free screw air compressor,",PB0361,,,,
Bharat Hardware And Electricals,PRT0112,Two Way Lab Water Tap,PB1248,,,,
Bharat Hardware And Electricals,PRT0112,Tyre Coupling TC-012,PB0386,,,,
Shiva Tools & Mill Store,PRT0238,Tyre Coupling TC-012,PB0386,,,,
Bharat Hardware And Electricals,PRT0112,Tyre Coupling TC-015,PB0385,,,,
Bharat Hardware And Electricals,PRT0112,Tyre Coupling TC-017,PB0384,,,,
Ambica Scientific Industries,PRT0087,U Connector (Kjeldal Distillation),PB0322,,,,
JOSHI WELDING COMPONENTS & HARDWARE,PRT0102,"Union 1"" SCH-40",PB0234,,,,
M.G Marketing Services (U.K 2018-2019),PRT0103,"Union 1"" SCH-40",PB0234,,,,
Bharat Hardware And Electricals,PRT0112,"Union 1"" SCH-40",PB0234,,,,
Bharat Hardware And Electricals,PRT0112,"Union 2"" SCH-40",PB0963,,,,
Infotrend Technologies,PRT0158,UPS 1 KVA,PB0472,,,,
Infotrend Technologies,PRT0158,UPS 600 VA,PB0473,,,,
Excel Computer Graphics,PRT0208,UPS 600 VA,PB0473,,,,
Bharat Hardware And Electricals,PRT0112,"UPVC Ball Valve 1""",PB0957,,,,
Liberty Agencies,PRT0188,"UPVC Ball Valve 1""",PB0957,,,,
Bharat Hardware And Electricals,PRT0112,"UPVC Ball Valve 2""",PB0956,,,,
Liberty Agencies,PRT0188,"UPVC Ball Valve 2""",PB0956,,,,
Bharat Hardware And Electricals,PRT0112,"UPVC Bush 1-1/2""x1-1/4""",PB1051,,,,
Bharat Hardware And Electricals,PRT0112,"UPVC Bush 1-1/4""x1""",PB1050,,,,
Bharat Hardware And Electricals,PRT0112,"UPVC Bushing 2""X1""",PB0958,,,,
Liberty Agencies,PRT0188,"UPVC Bushing 2""X1""",PB0958,,,,
Liberty Agencies,PRT0188,"UPVC Bushing 4""X2""",PB1093,,,,
Liberty Agencies,PRT0188,UPVC Elbow 50mm  SCH-80,PB1089,,,,
Bharat Hardware And Electricals,PRT0112,UPVC Flange 50mm,PB0623,,,,
Liberty Agencies,PRT0188,UPVC Flange 50mm,PB0623,,,,
Liberty Agencies,PRT0188,"UPVC FTA 1""",PB1091,,,,
Bharat Hardware And Electricals,PRT0112,"UPVC MTA 1-1/4""",PB1052,,,,
Bharat Hardware And Electricals,PRT0112,"UPVC MTA 1""",PB1053,,,,
Liberty Agencies,PRT0188,"UPVC MTA 1""",PB1053,,,,
JOSHI WELDING COMPONENTS & HARDWARE,PRT0102,"UPVC Pipe  1"" PLUMBING SCH-40",PB0231,,,,
M.G Marketing Services (U.K 2018-2019),PRT0103,"UPVC Pipe  1"" PLUMBING SCH-40",PB0231,,,,
Bharat Hardware And Electricals,PRT0112,"UPVC Pipe  1"" PLUMBING SCH-40",PB0231,,,,
Liberty Agencies,PRT0188,UPVC Pipe  50mm SCH-40 Lead Free,PB0614,,,,
Bharat Hardware And Electricals,PRT0112,"UPVC PIPE Heavy 2""",PB0960,,,,
Liberty Agencies,PRT0188,UPVC Socket 50mm SCH-80,PB1088,,,,
Bharat Hardware And Electricals,PRT0112,UPVC Solvant 705,PB0959,,,,
Liberty Agencies,PRT0188,UPVC Solvent,PB0622,,,,
Bharat Hardware And Electricals,PRT0112,"UPVC Tank Nipple 2""",PB0962,,,,
Liberty Agencies,PRT0188,"UPVC Tank Nipple 2""",PB0962,,,,
Bharat Hardware And Electricals,PRT0112,"UPVC Tee 1"" SCH-40",PB0961,,,,
Bharat Hardware And Electricals,PRT0112,UPVC Tee 50mm SCH-40,PB0617,,,,
Liberty Agencies,PRT0188,UPVC Tee 50mm SCH-40,PB0617,,,,
Liberty Agencies,PRT0188,UPVC Tee 50mm SCH-80,PB1090,,,,
Advance Panels & Switchgears Pvt. Ltd.,PRT0132,URS for MCC Panel ( Granulator Plant ),PB0357,,,,
Advance Panels & Switchgears Pvt. Ltd.,PRT0132,URS for Remote Panel-1,PB0358,,,,
Advance Panels & Switchgears Pvt. Ltd.,PRT0132,URS for Remote Panel-2,PB0359,,,,
Infotrend Technologies,PRT0158,USB Keybord,PB0468,,,,
Infotrend Technologies,PRT0158,USB Mouse,PB0470,,,,
Avahi Technologies,PRT0251,USB Mouse,PB0470,,,,
Bhagwati Hardware & Electricals,PRT0193,V-Belt B 80,PB1176,,,,
Bharat Hardware And Electricals,PRT0112,V-Belt B-132,PB0917,,,,
Bhagwati Hardware & Electricals,PRT0193,V-Belt B-52,PB1098,,,,
Bharat Hardware And Electricals,PRT0112,V-Belt B-72,PB1336,,,,
Bhagwati Hardware & Electricals,PRT0193,V-Belt C-124,PB1226,,,,
JOSHI WELDING COMPONENTS & HARDWARE,PRT0102,"Valve 1"" SCH-40",PB0235,,,,
M.G Marketing Services (U.K 2018-2019),PRT0103,"Valve 1"" SCH-40",PB0235,,,,
Phox India Industrial Services,PRT0185,Valve Set,PB0586,,,,
ABC AGROBIOTECHNOLOGY PVT LTD,PRT0040,VAM Spore Technical (1Lac IP/gm),PB0124,,,,
Titan Biotech Limited,PRT0003,Veg-Be-extract Powder,PB0140,,,,
Ambica Scientific Industries,PRT0087,Veg-Be-extract Powder,PB0140,,,,
Atlas Copco (India) Limited,PRT0134,Vertical Air Receiver of 5m3 – 10 Bar.g,PB0364,,,,
M Y Engineering Works,PRT0144,"Vibrater , Hojing shaft with Bearing 180",PB0389,,,,
Rishi Offset Printers,PRT0099,Visiting Card Printing,PB1124,,,,
R-Infotech Software,PRT0028,Visualplay Client Node,PB0495,,,,
A. R. Enterprises,PRT0283,"Warm Reduction Gear Box Ratio 1:15, U600",PB0279,,,,
A. R. Enterprises,PRT0283,"Warm Reduction Gear Box Ratio 1:15, U800",PB0278,,,,
A. R. Enterprises,PRT0283,"Warm Reduction Gear Box Ratio 1:15,U1000",PB0277,,,,
A. R. Enterprises,PRT0283,"Warm Reduction Gear Box Ratio 1:30, U300",PB0284,,,,
A. R. Enterprises,PRT0283,"Warm Reduction Gear Box Ratio 1:30, U400",PB0283,,,,
A. R. Enterprises,PRT0283,"Warm Reduction Gear Box Ratio 1:30, U500",PB0282,,,,
Shri Balaji Enterprises,PRT0272,"Warm Reduction Gear Box Ratio 1:30, U500",PB0282,,,,
A. R. Enterprises,PRT0283,"Warm Reduction Gear Box Ratio 1:30, U600",PB0281,,,,
A. R. Enterprises,PRT0283,"Warm Reduction Gear Box Ratio 1:60, U600",PB0280,,,,
Wadhwa Hardware,PRT0258,Wash Basin Sutlej 22x16 : White,PB1008,,,,
Bharat Hardware And Electricals,PRT0112,Washer 16mm,PB0977,,,,
SHRI RAM TRADERS,PRT0096,Waste Cloth,PB0227,,,,
Bharat Hardware And Electricals,PRT0112,Waste Cloth,PB0227,,,,
Royal Trading Co.,PRT0250,Waste Cloth,PB0227,,,,
Sharma Brothers,PRT0022,"Waste Pipe 1.1/4"" (Flexible)",PB1018,,,,
Eco Water Solutions Technologies Pvt. Lt,PRT0213,Water Treatment Plant,PB0705,,,,
Continental Earthmovers,PRT0227,Waxoil Black 5 Ltr Part No. 4004/0502,PB1193,,,,
Mittal Machinery Store,PRT0035,Wear Plate SP4L NDE,PB0798,,,,
Weight Solution & Company,PRT0245,Weighing Machine SSP BL 5 Kg Acc. - 0.5,PB0899,,,,
Shiva Tools & Mill Store,PRT0238,Welding Rubber Hose Pipe,PB1118,,,,
Directorate of Wheat Research,PRT0234,Wheat Seed,PB0821,,,,
M Y Engineering Works,PRT0144,Wheel Weight 350X40,PB0393,,,,
BEN & GAWS PRIVATE LIMITED,PRT0141,Whey Storage Tank 50KL With EC &Agitator,PB0371,,,,
