Particulars,OfbizPartyCode,Item Details,OfbizProductCode,supplierProductId,minimumOrderQuantity,unitPrice,FromDate
Marudhara Polypack Industries,PRT0281,Empty Bag for Patanjali Jaivik PROM 10Kg,PB0882,,,,
Marudhara Polypack Industries,PRT0281,Empty Bag for Patanjali Jaivik PROM 40Kg,PB0881,,,,
Kotak Polypack Industries,PRT0004,Empty Bag for Patanjali Jaivik PROM 40Kg,PB0881,,,,
Marudhara Polypack Industries,PRT0281,Empty Bag for Patanjali Poshak 1 Kg,PB0883,,,,
Marudhara Polypack Industries,PRT0281,Empty Bag for Patanjali Poshak 5Kg,PB0049,,,,
Kotak Polypack Industries,PRT0004,Empty Bag for Patanjali PROM 50Kg,PB0048,,,,
R.K. Dispo Packs,PRT0012,Empty Bottle 0.1 Liter,PB0054,,,,
R.K. Dispo Packs,PRT0012,Empty Bottle 1 Liter,PB0050,,,,
Jagan Enterprises,PRT0275,Empty Bottle 1 Liter,PB0050,,,,
GANGA MATA PRODUCTS,PRT0123,Empty CV Box 1 Kg,PB0060,,,,
GANGA MATA PRODUCTS,PRT0123,Empty CV Box 1 Liter,PB0055,,,,
ATRI PAPERS PRIVATE LIMITED,PRT0268,Empty CV Box 1 Liter,PB0055,,,,
ATRI PAPERS PRIVATE LIMITED,PRT0268,Empty CV Box for SITA KIT,PB1130,,,,
ATRI PAPERS PRIVATE LIMITED,PRT0268,Empty CV Box for SITA KIT with Plate,PB1130,,,,
NEW WAYS ENTERPRISES,PRT0097,Empty OuterBag for Patanjali Poshak 50Kg,PB0116,,,,
A. R. Enterprises,PRT0283,ENCLOSURE SIZE-II CAT NO-CM91003OOOO,PB0446,,,,
Ritik Communication,PRT0155,EPBEX NS300 for Panasonic System,PB0452,,,,
Bhargava Brothers,PRT0009,Eraser Non Dust (J) 20 PCS per Dabbi,PB1186,,,,
Ambica Scientific Industries,PRT0087,Eriochrome Black (T) Indicator,PB0310,,,,
M H Enterprises,PRT0068,Ethanol,PB0649,,,,
Titan Biotech Limited,PRT0003,Ethylene Diamine Tetraacetic Acid (EDTA),PB0737,,,,
M H Enterprises,PRT0068,Ethylene Diamine Tetraacetic Acid (EDTA),PB0737,,,,
Padmaja Enterprises,PRT0225,Executive Chair,PB0781,,,,
Bharat Hardware And Electricals,PRT0112,Exhaust Fan (Plastic) 300mm,PB0906,,,,
Infotrend Technologies,PRT0158,Externel Hard Disc,PB0474,,,,
Satyam Stationery Mart,PRT0015,Face Mask II Ply Green Elastic,PB0180,,,,
Forbes Marshall Pvt Ltd,PRT0222,Fermenter Boiler Steam PRS & Accessories,PB0765,,,,
Universal Industries,PRT0005,Ferrous Sulphate 19%,PB0033,,,,
Central Drug House (P) Ltd,PRT0276,Ferrous Sulphate LR,PB0170,,,,
Nankani Jute House,PRT0237,Fevicol SR 505 (Adhesive Charges),PB0830,,,,
Bhagwati Hardware & Electricals,PRT0193,File Flat,PB1214,,,,
Gainwell Commonsales Private Limited,PRT0194,Filter AS-LU 1R0749,PB0673,,,,
Gainwell Commonsales Private Limited,PRT0194,Filter AS-LU 1R1808,PB0672,,,,
Phox India Industrial Services,PRT0185,Filter Housing,PB0588,,,,
Unitek Scientific & Electronics Industry,PRT0204,Filter Paper 12.5 Cm Routine Quality,PB0695,,,,
Optec Instrumentation,PRT0202,Filter Paper 9.5 Cm Routine Quality,PB1267,,,,
Unitek Scientific & Electronics Industry,PRT0204,Filter Paper 9.5 Cm Routine Quality,PB1267,,,,
Mittal Refrectories,PRT0236,"Fire Bricks E/A 3X2 3/4""",PB0937,,,,
Mittal Refrectories,PRT0236,Fire Bricks Std.,PB0901,,,,
Samir Charcoal Company,PRT0125,Fire Wood,PB0345,,,,
Sameer Charcoal Company,PRT0127,Fire Wood,PB0345,,,,
OM Enterprises,PRT0221,Fire Wood,PB0345,,,,
Yuvraj Enterprises,PRT0232,Fire Wood,PB0345,,,,
R. S. Steel Furniture,PRT0264,Fix Chair,PB1142,,,,
Bhagwati Hardware & Electricals,PRT0193,"Flang Type Gate Valve 3""",PB1121,,,,
Bharat Hardware And Electricals,PRT0112,"Flange - GI, ANSI #150 150mm",PB0826,,,,
Bhagwati Hardware & Electricals,PRT0193,"Flange - GI, ANSI #150 40mm",PB0661,,,,
Bhagwati Hardware & Electricals,PRT0193,"Flange - GI, ANSI #150 50mm",PB0660,,,,
Bhagwati Hardware & Electricals,PRT0193,"Flange - GI, ANSI #150 80mm",PB0659,,,,
Bhagwati Hardware & Electricals,PRT0193,Flat Screw Driver L-150,PB1212,,,,
Bharat Hardware And Electricals,PRT0112,Flat Screw Driver L-280,PB1199,,,,
OM Production & Advertising,PRT0273,Flex Banner,PB1224,,,,
Bharat Hardware And Electricals,PRT0112,Float Switch,PB0972,,,,
Royal Trading Co.,PRT0250,Floor Duster Pocha,PB1101,,,,
Paras Enterprises,PRT0271,"Flow Switch Mouting 1""",PB1143,,,,
Shri Vijay Electricals,PRT0294,Fly Catcher Machine,PB1304,,,,
A. R. Enterprises,PRT0283,"Foot Mounted Electric Motor, HP-10, RPM",PB0270,,,,
A. R. Enterprises,PRT0283,"Foot Mounted Electric Motor, HP-15, RPM",PB0274,,,,
A. R. Enterprises,PRT0283,"Foot Mounted Electric Motor, HP-20, RPM",PB0269,,,,2019-04-01 00:00:00
A. R. Enterprises,PRT0283,"Foot Mounted Electric Motor, HP-25, RPM",PB0268,,,,2019-04-01 00:00:00
A. R. Enterprises,PRT0283,"Foot Mounted Electric Motor, HP-3, RPM -",PB0273,,,,
A. R. Enterprises,PRT0283,"Foot Mounted Electric Motor, HP-30, RPM",PB0267,,,,2019-04-01 00:00:00
A. R. Enterprises,PRT0283,"Foot Mounted Electric Motor, HP-5, RPM -",PB0272,,,,
A. R. Enterprises,PRT0283,"Foot Mounted Electric Motor, HP-7.5, RPM",PB0271,,,,
Ambica Scientific Industries,PRT0087,Formaldehyde Sol (37-41% w/v) LR,PB0160,,,,
M. K. COOLING TOWERS PVT LTD,PRT0133,FRP SQUARE TYPE COOLING TOWER OF 250 TR,PB0360,,,,
JOSHI WELDING COMPONENTS & HARDWARE,PRT0102,"FTA  1"" SCH-40 THREADED",PB0237,,,,
M.G Marketing Services (U.K 2018-2019),PRT0103,"FTA  1"" SCH-40 THREADED",PB0237,,,,
Bharat Hardware And Electricals,PRT0112,"FTA  1"" SCH-40 THREADED",PB0237,,,,
Bharat Hardware And Electricals,PRT0112,FTA  50mm SCH-40 THREADED,PB0618,,,,
Liberty Agencies,PRT0188,FTA  50mm SCH-40 THREADED,PB0618,,,,
Liberty Agencies,PRT0188,FTA  50mm SCH-80 THREADED,PB1158,,,,
Gen.Tech Engineers,PRT0285,Fuel Filter Kit 4899920,PB1047,,,,
Lakshmi Engineering Corporation,PRT0157,"Full Lock 1.5"" Duplex",PB0467,,,,
Lakshmi Engineering Corporation,PRT0157,"Full Lock 1.5"" Simplex",PB0465,,,,
Lakshmi Engineering Corporation,PRT0157,"Full Lock 1"" Simplex",PB0463,,,,
Alligo Horizon Pvt Ltd,PRT0140,Fulvic Powder,PB0039,,,,
Sri Sai Plastics Enterprises,PRT0199,Funnels Plastic 50 mm,PB0685,,,,
Optec Instrumentation,PRT0202,Funnels Plastic 50 mm,PB0685,,,,
Archi Enterprises,PRT0270,Funnels Plastic 50 mm,PB0685,,,,
Bharat Hardware And Electricals,PRT0112,Fuse Holder,PB1045,,,,
Ambica Scientific Industries,PRT0087,G-4 Gooch Crucible vacuum valve,PB1305,,,,
Bharat Hardware And Electricals,PRT0112,"G.I. Socket 1""",PB1169,,,,
Bharat Hardware And Electricals,PRT0112,"G.I. Socket 2""",PB1170,,,,
Namdev & Sons,PRT0163,"G.O. Switch 800 Amp 11 KV . 45 KL, Polym",PB0593,,,,
Nitin Enterprises,PRT0151,Garari Penion 4.5 ID,PB0439,,,,
Nitin Enterprises,PRT0151,Garari Penion 6.5 ID,PB0438,,,,
S.V.Scientific Co.,PRT0293,Gas Bladder,PB0814,,,,
Ambica Scientific Industries,PRT0087,Gas Burner (Lab Use),PB0201,,,,
Bhagwati Hardware & Electricals,PRT0193,Gas Cutter,PB0836,,,,
Bhagwati Hardware & Electricals,PRT0193,Gas Cutter Lead (LPG+Oxygen),PB1085,,,,
DEEPAK GUPTA & CO.,PRT0190,Gear Oil Grade 320,PB0624,,,,
Ambica Scientific Industries,PRT0087,Germitol,PB1306,,,,
A. R. Enterprises,PRT0283,GI Cable Tray 100 Mm,PB0761,,,,
Nandan Steels,PRT0105,GI Colour Coated Sheet 0.5X1000x12 Feet,PB0603,,,,
Nandan Steels,PRT0105,GI Colour Coated Sheet 0.5X1000x20 Feet,PB0602,,,,
Nandan Steels,PRT0105,GI Colour Coated Sheet 16' X 1 Mtr Thick,PB0351,,,,
Nandan Steels,PRT0105,GI Colour Coated Sheet 20' X 1 Mtr Thick,PB0350,,,,
Bharat Hardware And Electricals,PRT0112,"GI Pipe - Class C, ERW 150mm",PB0824,,,,
Bhagwati Hardware & Electricals,PRT0193,"GI Pipe - Class C, ERW 40mm",PB0655,,,,
Bhagwati Hardware & Electricals,PRT0193,"GI Pipe - Class C, ERW 50mm",PB0654,,,,
Bhagwati Hardware & Electricals,PRT0193,"GI Pipe - Class C, ERW 80mm",PB0653,,,,
Bharat Hardware And Electricals,PRT0112,GI Saddle With Base 1:,PB0817,,,,
Nandan Steels,PRT0105,GI Self Drill Screw 12X25,PB0605,,,,
Nandan Steels,PRT0105,GI Self Drill Screw 12X55,PB0604,,,,
Dev Wires,PRT0166,GI Wiremesh 1250X15000mm Size 4X5,PB0509,,,,
Dev Wires,PRT0166,GI Wiremesh 1250X15000mm Size 6X7,PB0510,,,,
Dev Wires,PRT0166,GI Wiremesh 5X5 Size 4'X50',PB0965,,,,
Dev Wires,PRT0166,GI Wiremesh 6X6 Size 4'X50',PB0966,,,,
Dev Wires,PRT0166,GI Wiremesh 6X7 Size 4'X50',PB0967,,,,
Ambica Scientific Industries,PRT0087,Glacial Acetic Acid,PB0302,,,,
Bhagwati Hardware & Electricals,PRT0193,Gland Rope 10mm,PB1307,,,,
Bhagwati Hardware & Electricals,PRT0193,Gland Rope 8mm,PB1308,,,,
Ambica Scientific Industries,PRT0087,"Glass Petri Dish, 100 Mm",PB0320,,,,
Tulip International,PRT0196,Glove Latex Exramination,PB0684,,,,
Royal Trading Co.,PRT0250,Glove Latex Exramination,PB0684,,,,
OM STEEL INDIA,PRT0269,"Glove Valve Steam 1"" F/E CJ-3680",PB1114,,,,
Titan Biotech Limited,PRT0003,Glycerol,PB0129,,,,
Bharat Hardware And Electricals,PRT0112,Golden Yellow Enamel Paint Asian Apcolit,PB0431,,,,
Ambica Scientific Industries,PRT0087,"Gooch Crucible G 4, Capacity: 30 Ml",PB0318,,,,
Punjab Agricalture University,PRT0223,Gram Seed (PBG7)(CS/TL),PB0766,,,,
DEEPAK GUPTA & CO.,PRT0190,Grease MP3 Servo,PB0667,,,,
Bharat Hardware And Electricals,PRT0112,Green Paint,PB1042,,,,
Shiva Tools & Mill Store,PRT0238,"Grinding Machine 4""",PB0852,,,,
Shiva Tools & Mill Store,PRT0238,"Grinding Machine 7""",PB0851,,,,
Bhagwati Hardware & Electricals,PRT0193,"Grinding Wheel 4""",PB1079,,,,
Bhagwati Hardware & Electricals,PRT0193,"Grinding Wheel 7""",PB1080,,,,
DIVYA PHARMACY UNIT-2 (D-BLOCK),PRT0243,Gum Acacia Powder,PB0127,,,,
Bharat Hardware And Electricals,PRT0112,"Gum Matel Floot Valve 2""",PB1000,,,,
Royal Trading Co.,PRT0250,Gumboot,PB0921,,,,
Natraj Organics Limited,PRT0013,Gypsum Powder,PB0027,,,,
Khicha Phoschem Ltd.,PRT0025,Gypsum Powder,PB0027,,,,
Preksha Minerals & Fertilizers (Raj),PRT0033,Gypsum Powder,PB0027,,,,
Lakshmi Engineering Corporation,PRT0157,"Half Lock 1.5"" Duplex",PB0466,,,,
Lakshmi Engineering Corporation,PRT0157,"Half Lock 1.5"" Simplex",PB0464,,,,
Lakshmi Engineering Corporation,PRT0157,"Half Lock 1"" Simplex",PB0462,,,,
Bharat Hardware And Electricals,PRT0112,Hammer 710 gm with Handle,PB1200,,,,
Bharat Hardware And Electricals,PRT0112,Hammer 800Gm,PB0887,,,,
Bhagwati Hardware & Electricals,PRT0193,Hammer Bit 12x310mm,PB1071,,,,
Bharat Hardware And Electricals,PRT0112,Hammer Drill Machine,PB1005,,,,
Premium Pulman Pvt. Ltd.,PRT0235,Hammer Mill,PB0822,,,,
V. K. Engineering Works,PRT0114,HAMMER S.S. Size : 240X50X50 Mm (New Pur,PB0260,,,,
