BOM Name,OfbizCode,Item To Produce,Qty,UOM,Type,Raw Mat./By Product,itemQty,Unit,Ofbiz Unit,FromDate
 ,,,,,PB0089,Moisture Maintained by Water,1125,Ltr.,UQC_klr,2019-04-29 17:34:53
 ,,,,,PB0101,"Thread Roll for PROM, JAIVIK & POSHAK",5,Pcs.,UQC_pcs,2019-04-29 17:34:53
PROM PBRI,PB0003,Patanjali PROM 50 Kg,1000,Kgs.,PB0025,Rock Phosphate 30%,400,Kgs.,UQC_kgs,2019-04-29 17:34:53
 ,,,,,PB0026,Bentonite Clay Powder,150,Kgs.,UQC_kgs,2019-04-29 17:34:53
 ,,,,,PB0027,Gypsum Powder,50,Kgs.,UQC_kgs,2019-04-29 17:34:53
 ,,,,,PB0048,Empty Bag for Patanjali PROM 50Kg,20,Pcs.,UQC_pcs,2019-04-29 17:34:53
 ,,,,,PB0085,Premix Nutrient Powder,30,Kgs.,UQC_kgs,2019-04-29 17:34:53
 ,,,,,PB0086,Food Park Compost,375,Kgs.,UQC_kgs,2019-04-29 17:34:53
 ,,,,,PB0087,Cow Urine Ark Distillate,10,Ltr.,UQC_klr,2019-04-29 17:34:53
 ,,,,,PB0088,Premix Nutrient Liquid,5,Ltr.,UQC_klr,2019-04-29 17:34:53
 ,,,,,PB0101,"Thread Roll for PROM, JAIVIK & POSHAK",0.2,Pcs.,UQC_pcs,2019-04-29 17:34:53
PROM sf,PB0003,Patanjali PROM 50 Kg,1000,Kgs.,PB0048,Empty Bag for Patanjali PROM 50Kg,20,Pcs.,UQC_pcs,2019-04-29 17:34:53
 ,,,,,PB0101,"Thread Roll for PROM, JAIVIK & POSHAK",0.2,Pcs.,UQC_pcs,2019-04-29 17:34:53
 ,,,,,PB0122,Prom Sf,1000,Kgs.,UQC_kgs,2019-04-29 17:34:53
Poshak 5 Kg,PB0004,Patanjali Poshak 05 Kg,200,Pcs.,PB0026,Bentonite Clay Powder,250,Kgs.,UQC_kgs,2019-04-29 17:34:53
 ,,,,,PB0031,Bentonite Clay Granule,500,Kgs.,UQC_kgs,2019-04-29 17:34:53
 ,,,,,PB0040,Super Pottasium Humate,42,Kgs.,UQC_kgs,2019-04-29 17:34:53
 ,,,,,PB0041,Sea Weed Powder,10,Kgs.,UQC_kgs,2019-04-29 17:34:53
 ,,,,,PB0049,Empty Bag for Patanjali Poshak 5Kg,200,Pcs.,UQC_pcs,2019-04-29 17:34:53
 ,,,,,PB0086,Food Park Compost,100,Kgs.,UQC_kgs,2019-04-29 17:34:53
 ,,,,,PB0101,"Thread Roll for PROM, JAIVIK & POSHAK",2,Pcs.,UQC_pcs,2019-04-29 17:34:53
 ,,,,,PB0114,Root Technical for Poshak,1,Kgs.,UQC_kgs,2019-04-29 17:34:53
 ,,,,,PB0115,Soil Technical for Poshak,50,Kgs.,UQC_kgs,2019-04-29 17:34:53
 ,,,,,PB0116,Empty OuterBag for Patanjali Poshak 50Kg,20,Pcs.,UQC_pcs,2019-04-29 17:34:53
 ,,,,,PB0124,VAM Spore Technical (1Lac IP/gm),100,Gms.,UQC_kgs,2019-04-29 17:34:53
 ,,,,,PB0125,Biogas Sludge Fine Powder,100,Kgs.,UQC_kgs,2019-04-29 17:34:53
Poshak 5 Kg New,PB0004,Patanjali Poshak 05 Kg,200,Pcs.,PB0026,Bentonite Clay Powder,50,Kgs.,UQC_kgs,2019-04-29 17:34:53
 ,,,,,PB0031,Bentonite Clay Granule,500,Kgs.,UQC_kgs,2019-04-29 17:34:53
 ,,,,,PB0040,Super Pottasium Humate,42,Kgs.,UQC_kgs,2019-04-29 17:34:53
 ,,,,,PB0041,Sea Weed Powder,10,Kgs.,UQC_kgs,2019-04-29 17:34:53
 ,,,,,PB0049,Empty Bag for Patanjali Poshak 5Kg,200,Pcs.,UQC_pcs,2019-04-29 17:34:53
 ,,,,,PB0086,Food Park Compost,100,Kgs.,UQC_kgs,2019-04-29 17:34:53
 ,,,,,PB0101,"Thread Roll for PROM, JAIVIK & POSHAK",2,Pcs.,UQC_pcs,2019-04-29 17:34:53
 ,,,,,PB0114,Root Technical for Poshak,1,Kgs.,UQC_kgs,2019-04-29 17:34:53
 ,,,,,PB0115,Soil Technical for Poshak,50,Kgs.,UQC_kgs,2019-04-29 17:34:53
